GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,imputed,subbed
31,2016,Nebraska,USA,1869365.0,8.75,33.76,726.0,52997.0,133200.0,27.0,80.76,4.59,9.96,0.71,2.02,0.06,1.82,0.09,258410,7325.0,5615.0,2.17,2.83,0,0
33,2016,New Hampshire,USA,1324201.0,5.62,29.04,1000.0,66779.0,237300.0,29.5,91.4,1.17,3.18,0.14,2.35,0.02,1.61,0.12,9451,166.0,161.0,1.7,1.76,0,0
34,2016,New Jersey,USA,8904413.0,8.16,35.53,1192.0,72093.0,315900.0,32.1,57.2,12.72,18.96,0.11,8.98,0.02,1.57,0.44,1225526,147671.0,136.0,0.01,12.05,0,0
35,2016,New Mexico,USA,2084117.0,15.94,31.94,777.0,44963.0,160300.0,30.7,39.2,1.83,47.36,8.51,1.31,0.04,1.58,0.18,188623,7984.0,6006.0,3.18,4.23,0,0
32,2016,Nevada,USA,2798636.0,11.39,44.94,973.0,51847.0,173700.0,30.1,52.0,8.07,27.53,0.88,7.55,0.61,3.21,0.16,394807,24319.0,13478.0,3.41,6.16,0,0
36,2016,New York,USA,19673174.0,11.98,46.37,1132.0,59269.0,283400.0,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1770577,126657.0,38055.0,2.15,7.15,0,0
39,2016,Ohio,USA,11575977.0,11.54,33.69,730.0,49429.0,129900.0,29.5,80.26,12.04,3.38,0.15,1.85,0.02,2.18,0.12,1663340,103027.0,57980.0,3.49,6.19,0,0
40,2016,Oklahoma,USA,3849733.0,12.43,33.94,727.0,46879.0,117900.0,28.3,67.31,7.12,9.65,6.95,1.91,0.12,6.87,0.08,515013,42251.0,21814.0,4.24,8.2,0,0
41,2016,Oregon,USA,3939233.0,11.19,38.72,907.0,51243.0,237300.0,32.1,77.25,1.75,12.33,0.92,3.92,0.36,3.32,0.14,641543,18805.0,7038.0,1.1,2.93,0,0
42,2016,Pennsylvania,USA,12779559.0,9.29,30.79,840.0,53599.0,166000.0,30.3,78.09,10.54,6.38,0.11,3.05,0.02,1.65,0.15,1655031,87898.0,29257.0,1.77,5.31,0,0
44,2016,Rhode Island,USA,1053661.0,10.11,39.87,925.0,56852.0,238000.0,30.6,74.53,5.34,13.65,0.37,3.19,0.03,2.19,0.7,165333,8346.0,5069.0,3.07,5.05,0,0
45,2016,South Carolina,USA,4777576.0,13.49,31.41,790.0,45483.0,139900.0,31.1,63.86,27.3,5.32,0.29,1.39,0.05,1.68,0.11,463545,86682.0,41099.0,8.87,18.7,0,0
46,2016,South Dakota,USA,843190.0,9.1,31.93,655.0,50957.0,140500.0,26.0,83.22,1.52,3.31,8.3,1.2,0.04,2.34,0.08,109252,574.0,,,0.53,0,0
47,2016,Tennessee,USA,6499615.0,13.23,33.23,764.0,45219.0,142100.0,30.3,74.73,16.67,4.92,0.22,1.56,0.05,1.74,0.11,703544,46907.0,19556.0,2.78,6.67,0,0
48,2016,Texas,USA,26538614.0,13.45,37.77,882.0,53207.0,136000.0,29.3,43.84,11.57,38.42,0.25,4.19,0.07,1.53,0.13,3474100,165708.0,75431.0,2.17,4.77,0,0
49,2016,Utah,USA,2903379.0,9.15,30.53,887.0,60727.0,215900.0,29.0,79.5,1.01,13.43,0.95,2.17,0.88,1.91,0.15,301260,6590.0,2787.0,0.93,2.19,0,0
51,2016,Virginia,USA,8256630.0,8.22,33.82,1116.0,65015.0,245000.0,29.9,63.44,18.9,8.59,0.21,5.93,0.06,2.66,0.22,1012175,146534.0,51821.0,5.12,14.48,0,0
50,2016,Vermont,USA,626604.0,7.34,29.0,895.0,55176.0,217500.0,30.9,93.61,1.07,1.71,0.3,1.39,0.03,1.8,0.1,42185,39.0,39.0,0.09,0.09,0,0
53,2016,Washington,USA,6985464.0,8.85,37.5,1014.0,61062.0,259500.0,30.0,70.76,3.49,11.96,1.16,7.6,0.61,4.28,0.14,968615,14166.0,7904.0,0.82,1.46,0,0
55,2016,Wisconsin,USA,5742117.0,8.63,32.7,776.0,53357.0,165800.0,28.9,82.37,6.17,6.35,0.8,2.49,0.02,1.73,0.07,787739,26508.0,14871.0,1.89,3.37,0,0
54,2016,West Virginia,USA,1851420.0,13.07,27.48,643.0,41751.0,103800.0,28.9,92.55,3.26,1.37,0.15,0.72,0.03,1.85,0.07,234658,10314.0,8268.0,3.52,4.4,0,0
56,2016,Wyoming,USA,579679.0,7.69,30.94,789.0,58840.0,194800.0,25.6,84.47,1.03,9.61,1.9,0.89,0.07,2.01,0.02,42997,382.0,377.0,0.88,0.89,0,0
